policy_id,period,region,line_of_business,claims_paid,net_earned_premium,loss_ratio,client_name,risk_category,cause_of_loss,claim_status,settlement_date,gwp_usd,nep_usd,claims_paid_usd,combined_ratio,exposure,premium_rate,continent
CLM-408227,2011-11-13,North America,Cyber,234787.17,345129.55,0.6803,Atlas Underwriters (Europe),Cyber,Theft,Closed,2011-11-29,,345129.55,234787.17,0.6803,,1.0,North America
CLM-405304,2011-11-14,Kenya,Engineering,206873.44,223482.7,0.9257,Zenith Cover,Cyber,Fire,Closed,2012-01-08,,223482.7,206873.44,0.9257,,1.0,Africa
CLM-407165,2011-11-14,Middle East & Africa,Life,52190.56,61201.75,0.8528,Metro Insurers,Market,Earthquake,Closed,2012-05-08,,61201.75,52190.56,0.8528,,1.0,Asia
CLM-405597,2011-11-14,Nordics,Marine,17146.76,21633.45,0.7926,Atlas Underwriters (Europe),Weather,Hail,Closed,2012-05-10,,21633.45,17146.76,0.7926,,1.0,Europe
CLM-400915,2011-11-15,Africa,Agriculture,157035.63,299627.3,0.5241,Zenith Cover,Cyber,Drought,Under Review,,,299627.3,157035.63,0.5241,,1.0,Africa
CLM-401963,2011-11-16,Australia & Pacific,Marine,12438.8,22128.65,0.5621,Pacifica Cover (Oceania),Cyber,Drought,Closed,2012-01-05,,22128.65,12438.8,0.5621,,1.0,Oceania
CLM-407966,2011-11-16,Middle East & Africa,Marine,26575.84,29116.06,0.9128,Pinnacle Assurance,Credit,Cyber Breach,Closed,2012-02-11,,29116.06,26575.84,0.9128,,1.0,Asia
CLM-401244,2011-11-17,Latin America,Credit & Surety,89148.75,107279.81,0.831,Meridian Insurance (N. America),Credit,Marine Peril,Closed,2012-06-13,,107279.81,89148.75,0.831,,1.0,South America
CLM-405116,2011-11-17,Caribbean,Life,31051.08,55628.76,0.5582,Horizon Underwriters,Cyber,Fire,Closed,2012-01-06,,55628.76,31051.08,0.5582,,1.0,North America
CLM-400696,2011-11-18,Asia Pacific,Life,82468.12,173592.36,0.4751,AgriProtect,Weather,Machinery Breakdown,Closed,2012-02-25,,173592.36,82468.12,0.4751,,1.0,Asia
CLM-412741,2011-11-19,Latin America,Energy,367209.69,437905.08,0.8386,Coastal Mutual,Credit,Collision,Reopened,2012-02-15,,437905.08,367209.69,0.8386,,1.0,South America
CLM-408172,2011-11-19,Latin America,Motor,37140.51,47772.35,0.7774,Pacifica Cover (Oceania),Weather,Fire,Closed,2012-01-13,,47772.35,37140.51,0.7774,,1.0,South America
CLM-402281,2011-11-20,Europe,Marine,51933.77,92139.41,0.5636,Acentria Group,Cyber,Liability Claim,Closed,2012-01-20,,92139.41,51933.77,0.5636,,1.0,Europe
CLM-409281,2011-11-20,North America,Aviation,106242.73,170112.11,0.6245,Pacifica Cover (Oceania),Credit,Collision,Closed,2013-02-23,,170112.11,106242.73,0.6245,,1.0,North America
CLM-401649,2011-11-21,Australia & Pacific,Energy,4660.23,8403.94,0.5545,Atlas Underwriters (Europe),Credit,Theft,Closed,2011-12-13,,8403.94,4660.23,0.5545,,1.0,Oceania
CLM-403598,2011-11-21,Asia Pacific,Cyber,50477.18,88854.82,0.5681,Atlas Underwriters (Europe),Credit,Collision,Open,,,88854.82,50477.18,0.5681,,1.0,Asia
CLM-407953,2011-11-21,Europe,Cyber,22236.6,52552.59,0.4231,Metro Insurers,Market,Drought,Closed,2011-12-18,,52552.59,22236.6,0.4231,,1.0,Europe
CLM-411782,2011-11-22,Caribbean,Property,48517.9,125051.13,0.388,Pacifica Cover (Oceania),Nat Cat,Earthquake,Closed,2012-01-25,,125051.13,48517.9,0.388,,1.0,North America
CLM-408892,2011-11-22,North America,Cyber,8136.34,15623.42,0.5208,Acentria Group,Operational,Earthquake,Closed,2011-12-13,,15623.42,8136.34,0.5208,,1.0,North America
CLM-412116,2011-11-23,Caribbean,Agriculture,68989.27,100578.59,0.6859,Baobab Insurance,Operational,Theft,Open,,,100578.59,68989.27,0.6859,,1.0,North America
CLM-400260,2011-11-24,Kenya,Aviation,11230.82,11934.27,0.9411,Orient Shield Insurance (Asia),Nat Cat,Liability Claim,Under Review,,,11934.27,11230.82,0.9411,,1.0,Africa
CLM-402546,2011-11-24,Nordics,Agriculture,214328.65,474319.97,0.4519,Acentria Group,Political,Flood,Closed,2012-01-15,,474319.97,214328.65,0.4519,,1.0,Europe
CLM-400030,2011-11-25,Middle East & Africa,Energy,27860.55,37057.75,0.7518,Baobab Insurance,Market,Liability Claim,Under Review,,,37057.75,27860.55,0.7518,,1.0,Asia
CLM-401287,2011-11-26,Kenya,Engineering,5687.92,12448.01,0.4569,Orient Shield Insurance (Asia),Operational,Flood,Closed,2012-01-12,,12448.01,5687.92,0.4569,,1.0,Africa
CLM-402309,2011-11-28,Latin America,Property,36294.58,67662.5,0.5364,Pacifica Cover (Oceania),Market,Earthquake,Closed,2011-12-05,,67662.5,36294.58,0.5364,,1.0,South America
CLM-406213,2011-11-29,Middle East & Africa,Aviation,25954.75,35645.56,0.7281,Orient Shield Insurance (Asia),Weather,Machinery Breakdown,Closed,2011-12-22,,35645.56,25954.75,0.7281,,1.0,Asia
CLM-407436,2011-11-29,Africa,Marine,15989.99,20521.75,0.7792,Orient Shield Insurance (Asia),Nat Cat,Earthquake,Closed,2012-10-09,,20521.75,15989.99,0.7792,,1.0,Africa
CLM-405769,2011-11-30,North America,Energy,31693.93,46896.74,0.6758,Coastal Mutual,Weather,Marine Peril,Closed,2011-12-26,,46896.74,31693.93,0.6758,,1.0,North America
CLM-401478,2011-11-30,Middle East & Africa,Life,19929.07,22819.76,0.8733,Zenith Cover,Weather,Flood,Under Review,,,22819.76,19929.07,0.8733,,1.0,Asia
CLM-410483,2011-12-02,Africa,Energy,71025.93,75308.95,0.9431,Nile Star Assurance (Africa),Credit,Flood,Closed,2012-01-10,,75308.95,71025.93,0.9431,,1.0,Africa
CLM-405163,2011-12-05,Australia & Pacific,Property,4632.53,8115.14,0.5709,Pacifica Cover (Oceania),Political,Windstorm,Reopened,2012-01-24,,8115.14,4632.53,0.5709,,1.0,Oceania
CLM-401650,2011-12-05,Asia Pacific,Marine,12819.75,17721.21,0.7234,Acentria Group,Operational,Collision,Closed,2012-10-31,,17721.21,12819.75,0.7234,,1.0,Asia
CLM-405481,2011-12-05,North America,Motor,6156.4,6858.13,0.8977,Atlas Underwriters (Europe),Operational,Earthquake,Closed,2011-12-30,,6858.13,6156.4,0.8977,,1.0,North America
CLM-407412,2011-12-07,Latin America,Property,2644.97,3698.67,0.7151,Baobab Insurance,Credit,Windstorm,Closed,2012-02-16,,3698.67,2644.97,0.7151,,1.0,South America
CLM-401079,2011-12-07,Nordics,Engineering,31374.51,58058.19,0.5404,AgriProtect,Nat Cat,Collision,Closed,2011-12-22,,58058.19,31374.51,0.5404,,1.0,Europe
CLM-406566,2011-12-09,Kenya,Credit & Surety,32444.95,41532.46,0.7812,Pacifica Cover (Oceania),Weather,Fire,Closed,2012-02-24,,41532.46,32444.95,0.7812,,1.0,Africa
CLM-407082,2011-12-09,Asia Pacific,Health,61317.65,80357.94,0.7631,Andes Mutual (S. America),Market,Liability Claim,Closed,2012-01-18,,80357.94,61317.65,0.7631,,1.0,Asia
CLM-406452,2011-12-09,Nordics,Cyber,28649.64,42839.2,0.6688,Pinnacle Assurance,Operational,Liability Claim,Closed,2012-01-23,,42839.2,28649.64,0.6688,,1.0,Europe
CLM-404960,2011-12-09,Kenya,Health,84391.58,130927.51,0.6446,Orient Shield Insurance (Asia),Market,Marine Peril,Closed,2012-03-18,,130927.51,84391.58,0.6446,,1.0,Africa
CLM-403171,2011-12-10,Caribbean,Property,113340.56,197338.63,0.5743,Orient Shield Insurance (Asia),Nat Cat,Windstorm,Closed,2012-01-06,,197338.63,113340.56,0.5743,,1.0,North America
CLM-412396,2011-12-10,Africa,Energy,111415.09,198866.27,0.5603,Horizon Underwriters,Operational,Cyber Breach,Closed,2011-12-30,,198866.27,111415.09,0.5603,,1.0,Africa
CLM-405860,2011-12-10,North America,Liability,1867.16,3205.48,0.5825,Nile Star Assurance (Africa),Credit,Marine Peril,Closed,2012-02-18,,3205.48,1867.16,0.5825,,1.0,North America
CLM-409672,2011-12-11,Kenya,Engineering,7680.19,16190.33,0.4744,Nile Star Assurance (Africa),Political,Liability Claim,Open,,,16190.33,7680.19,0.4744,,1.0,Africa
CLM-405734,2011-12-11,Europe,Energy,19711.95,29031.6,0.679,Pinnacle Assurance,Nat Cat,Collision,Closed,2012-04-02,,29031.6,19711.95,0.679,,1.0,Europe
CLM-407378,2011-12-12,Australia & Pacific,Agriculture,32134.56,41862.0,0.7676,Meridian Insurance (N. America),Credit,Theft,Closed,2011-12-30,,41862.0,32134.56,0.7676,,1.0,Oceania
CLM-408224,2011-12-12,Caribbean,Energy,69255.36,88786.5,0.78,Nile Star Assurance (Africa),Nat Cat,Collision,Closed,2011-12-28,,88786.5,69255.36,0.78,,1.0,North America
CLM-407601,2011-12-12,Kenya,Liability,67957.61,135215.29,0.5026,Coastal Mutual,Operational,Fire,Closed,2012-09-06,,135215.29,67957.61,0.5026,,1.0,Africa
CLM-407277,2011-12-13,Nordics,Engineering,19597.48,21159.14,0.9262,Baobab Insurance,Cyber,Earthquake,Closed,2012-01-02,,21159.14,19597.48,0.9262,,1.0,Europe
CLM-409708,2011-12-13,Latin America,Health,101689.32,118072.09,0.8612,Andes Mutual (S. America),Operational,Earthquake,Closed,2011-12-19,,118072.09,101689.32,0.8612,,1.0,South America
CLM-408930,2011-12-14,Europe,Motor,99527.58,123049.95,0.8088,Atlas Underwriters (Europe),Nat Cat,Fire,Under Review,,,123049.95,99527.58,0.8088,,1.0,Europe
CLM-409578,2011-12-15,Kenya,Agriculture,11283.08,16494.33,0.6841,Zenith Cover,Operational,Drought,Closed,2012-01-23,,16494.33,11283.08,0.6841,,1.0,Africa
CLM-407088,2011-12-15,Middle East & Africa,Aviation,7424.7,14112.94,0.5261,Acentria Group,Operational,Collision,Closed,2012-03-30,,14112.94,7424.7,0.5261,,1.0,Asia
CLM-405577,2011-12-16,Middle East & Africa,Energy,13908.37,24642.85,0.5644,Meridian Insurance (N. America),Weather,Liability Claim,Closed,2012-02-08,,24642.85,13908.37,0.5644,,1.0,Asia
CLM-405951,2011-12-17,North America,Agriculture,31930.88,44836.65,0.7122,Nile Star Assurance (Africa),Operational,Machinery Breakdown,Open,,,44836.65,31930.88,0.7122,,1.0,North America
CLM-407762,2011-12-17,Nordics,Motor,85165.47,113794.45,0.7484,Atlas Underwriters (Europe),Weather,Flood,Closed,2012-01-15,,113794.45,85165.47,0.7484,,1.0,Europe
CLM-411015,2011-12-18,Australia & Pacific,Credit & Surety,20242.92,28412.78,0.7125,Pacifica Cover (Oceania),Operational,Marine Peril,Closed,2013-02-07,,28412.78,20242.92,0.7125,,1.0,Oceania
CLM-400182,2011-12-21,North America,Cyber,10632.08,19868.18,0.5351,Horizon Underwriters,Market,Windstorm,Closed,2012-05-11,,19868.18,10632.08,0.5351,,1.0,North America
CLM-411492,2011-12-21,North America,Energy,18195.86,21961.68,0.8285,Pinnacle Assurance,Credit,Cyber Breach,Reopened,2012-03-01,,21961.68,18195.86,0.8285,,1.0,North America
CLM-405804,2011-12-22,Nordics,Cyber,56292.62,87145.63,0.646,Orient Shield Insurance (Asia),Market,Collision,Closed,2011-12-31,,87145.63,56292.62,0.646,,1.0,Europe
CLM-412310,2011-12-23,Asia Pacific,Engineering,16896.24,28272.14,0.5976,Pinnacle Assurance,Weather,Earthquake,Reopened,2012-02-21,,28272.14,16896.24,0.5976,,1.0,Asia
CLM-404290,2011-12-25,Middle East & Africa,Engineering,10324.42,19583.96,0.5272,Pinnacle Assurance,Nat Cat,Flood,Closed,2012-03-29,,19583.96,10324.42,0.5272,,1.0,Asia
CLM-411959,2011-12-25,Nordics,Marine,6971.49,7962.22,0.8756,Atlas Underwriters (Europe),Operational,Cyber Breach,Closed,2012-05-28,,7962.22,6971.49,0.8756,,1.0,Europe
CLM-400600,2011-12-26,North America,Agriculture,27266.31,57243.94,0.4763,Metro Insurers,Credit,Marine Peril,Closed,2012-02-11,,57243.94,27266.31,0.4763,,1.0,North America
CLM-409859,2011-12-26,Africa,Agriculture,15033.97,16997.85,0.8845,AgriProtect,Cyber,Liability Claim,Closed,2012-02-07,,16997.85,15033.97,0.8845,,1.0,Africa
CLM-404668,2011-12-27,Australia & Pacific,Property,30243.02,35900.31,0.8424,Atlas Underwriters (Europe),Market,Drought,Closed,2011-12-29,,35900.31,30243.02,0.8424,,1.0,Oceania
CLM-407767,2011-12-28,Middle East & Africa,Liability,35284.42,44862.67,0.7865,Zenith Cover,Market,Hail,Closed,2012-09-20,,44862.67,35284.42,0.7865,,1.0,Asia
CLM-407623,2011-12-28,Asia Pacific,Motor,115800.49,218572.23,0.5298,AgriProtect,Market,Flood,Closed,2012-01-05,,218572.23,115800.49,0.5298,,1.0,Asia
CLM-409986,2011-12-28,Africa,Marine,39560.84,53225.91,0.7433,Baobab Insurance,Weather,Collision,Closed,2012-10-13,,53225.91,39560.84,0.7433,,1.0,Africa
CLM-408512,2011-12-28,Europe,Energy,1660.42,2339.49,0.7097,Orient Shield Insurance (Asia),Cyber,Liability Claim,Under Review,,,2339.49,1660.42,0.7097,,1.0,Europe
CLM-409471,2011-12-28,Asia Pacific,Agriculture,14297.76,19214.17,0.7441,Horizon Underwriters,Market,Liability Claim,Closed,2012-01-16,,19214.17,14297.76,0.7441,,1.0,Asia
CLM-410020,2011-12-29,Kenya,Credit & Surety,14982.27,26484.59,0.5657,Meridian Insurance (N. America),Operational,Theft,Open,,,26484.59,14982.27,0.5657,,1.0,Africa
CLM-404192,2011-12-30,North America,Life,45367.11,59149.74,0.767,Meridian Insurance (N. America),Credit,Collision,Closed,2012-02-14,,59149.74,45367.11,0.767,,1.0,North America
CLM-402292,2011-12-30,Australia & Pacific,Property,37360.07,52400.17,0.713,Horizon Underwriters,Cyber,Hail,Closed,2012-02-02,,52400.17,37360.07,0.713,,1.0,Oceania
CLM-408396,2011-12-30,Europe,Marine,336346.24,705489.57,0.4768,Orient Shield Insurance (Asia),Weather,Flood,Closed,2012-09-12,,705489.57,336346.24,0.4768,,1.0,Europe
CLM-411712,2011-12-30,Middle East & Africa,Health,23585.29,25734.67,0.9165,Pacifica Cover (Oceania),Cyber,Liability Claim,Closed,2012-02-12,,25734.67,23585.29,0.9165,,1.0,Asia
CLM-407120,2011-12-31,Kenya,Life,41912.96,47499.01,0.8824,Acentria Group,Weather,Collision,Closed,2012-01-23,,47499.01,41912.96,0.8824,,1.0,Africa
CLM-406235,2012-01-02,Kenya,Motor,35311.33,76565.14,0.4612,Zenith Cover,Cyber,Liability Claim,Closed,2012-04-24,,76565.14,35311.33,0.4612,,1.0,Africa
CLM-405882,2012-01-02,Nordics,Life,15735.57,26866.16,0.5857,Zenith Cover,Weather,Liability Claim,Closed,2012-04-18,,26866.16,15735.57,0.5857,,1.0,Europe
CLM-408026,2012-01-02,Middle East & Africa,Property,48570.25,130035.22,0.3735,Baobab Insurance,Cyber,Drought,Open,,,130035.22,48570.25,0.3735,,1.0,Asia
CLM-405569,2012-01-02,Australia & Pacific,Engineering,6849.33,10503.72,0.6521,Coastal Mutual,Nat Cat,Cyber Breach,Closed,2012-01-30,,10503.72,6849.33,0.6521,,1.0,Oceania
CLM-406935,2012-01-03,Caribbean,Engineering,10910.42,23116.46,0.472,Acentria Group,Market,Liability Claim,Open,,,23116.46,10910.42,0.472,,1.0,North America
CLM-412908,2012-01-03,Caribbean,Cyber,53481.59,65840.12,0.8123,Zenith Cover,Nat Cat,Earthquake,Closed,2012-03-18,,65840.12,53481.59,0.8123,,1.0,North America
CLM-404458,2012-01-04,North America,Credit & Surety,20523.72,35876.18,0.5721,AgriProtect,Credit,Liability Claim,Closed,2012-03-08,,35876.18,20523.72,0.5721,,1.0,North America
CLM-409592,2012-01-04,Europe,Liability,12725.83,21656.58,0.5876,Orient Shield Insurance (Asia),Cyber,Marine Peril,Closed,2012-05-10,,21656.58,12725.83,0.5876,,1.0,Europe
CLM-406234,2012-01-04,Latin America,Agriculture,32610.96,40850.91,0.7983,Coastal Mutual,Nat Cat,Cyber Breach,Closed,2012-01-24,,40850.91,32610.96,0.7983,,1.0,South America
CLM-404918,2012-01-05,Africa,Property,200172.7,517503.17,0.3868,Coastal Mutual,Weather,Windstorm,Closed,2012-02-21,,517503.17,200172.7,0.3868,,1.0,Africa
CLM-406583,2012-01-05,Europe,Health,30298.59,50300.53,0.6024,Orient Shield Insurance (Asia),Nat Cat,Machinery Breakdown,Closed,2012-02-05,,50300.53,30298.59,0.6024,,1.0,Europe
CLM-406152,2012-01-06,Latin America,Motor,4081.83,4720.22,0.8648,Nile Star Assurance (Africa),Cyber,Earthquake,Closed,2012-02-09,,4720.22,4081.83,0.8648,,1.0,South America
CLM-409824,2012-01-07,Middle East & Africa,Credit & Surety,51442.9,89033.1,0.5778,Pinnacle Assurance,Nat Cat,Collision,Closed,2012-05-12,,89033.1,51442.9,0.5778,,1.0,Asia
CLM-406982,2012-01-08,North America,Life,5235.37,11904.77,0.4398,Zenith Cover,Credit,Hail,Closed,2012-01-30,,11904.77,5235.37,0.4398,,1.0,North America
CLM-408356,2012-01-09,Europe,Marine,51757.74,100411.69,0.5155,Acentria Group,Political,Cyber Breach,Closed,2012-08-01,,100411.69,51757.74,0.5155,,1.0,Europe
CLM-409719,2012-01-09,Australia & Pacific,Credit & Surety,3123.02,6584.25,0.4743,Horizon Underwriters,Cyber,Fire,Closed,2012-06-26,,6584.25,3123.02,0.4743,,1.0,Oceania
CLM-412896,2012-01-10,Nordics,Marine,16404.62,18099.13,0.9064,Pinnacle Assurance,Cyber,Fire,Reopened,2012-05-09,,18099.13,16404.62,0.9064,,1.0,Europe
CLM-406776,2012-01-11,Africa,Cyber,9083.99,13796.67,0.6584,Pinnacle Assurance,Operational,Machinery Breakdown,Closed,2012-02-07,,13796.67,9083.99,0.6584,,1.0,Africa
CLM-412416,2012-01-11,Kenya,Liability,20827.39,33245.51,0.6265,Andes Mutual (S. America),Nat Cat,Hail,Under Review,,,33245.51,20827.39,0.6265,,1.0,Africa
CLM-409901,2012-01-12,Europe,Engineering,67696.86,76507.1,0.8848,AgriProtect,Operational,Marine Peril,Closed,2012-03-07,,76507.1,67696.86,0.8848,,1.0,Europe
CLM-402366,2012-01-12,Caribbean,Agriculture,20259.46,22752.35,0.8904,Pacifica Cover (Oceania),Weather,Drought,Closed,2012-03-01,,22752.35,20259.46,0.8904,,1.0,North America
CLM-406052,2012-01-12,Africa,Liability,4025.4,4901.62,0.8212,Metro Insurers,Operational,Windstorm,Closed,2013-04-08,,4901.62,4025.4,0.8212,,1.0,Africa
CLM-409429,2012-01-13,North America,Cyber,16359.86,26728.0,0.6121,Pacifica Cover (Oceania),Operational,Hail,Closed,2012-01-23,,26728.0,16359.86,0.6121,,1.0,North America
CLM-410893,2012-01-15,North America,Energy,31027.06,53439.54,0.5806,Baobab Insurance,Cyber,Machinery Breakdown,Closed,2012-05-02,,53439.54,31027.06,0.5806,,1.0,North America
CLM-401896,2012-01-16,Nordics,Agriculture,9467.12,14729.47,0.6427,Pacifica Cover (Oceania),Weather,Marine Peril,Closed,2012-02-06,,14729.47,9467.12,0.6427,,1.0,Europe
CLM-406847,2012-01-16,Kenya,Agriculture,3184.3,4050.05,0.7862,Nile Star Assurance (Africa),Weather,Windstorm,Closed,2012-01-31,,4050.05,3184.3,0.7862,,1.0,Africa
CLM-404212,2012-01-16,Europe,Energy,44142.38,72521.73,0.6087,Meridian Insurance (N. America),Credit,Theft,Closed,2012-05-17,,72521.73,44142.38,0.6087,,1.0,Europe
CLM-405065,2012-01-17,Caribbean,Energy,4123.89,6607.66,0.6241,Atlas Underwriters (Europe),Credit,Marine Peril,Closed,2012-03-01,,6607.66,4123.89,0.6241,,1.0,North America
CLM-408936,2012-01-17,Australia & Pacific,Health,25695.92,63479.3,0.4048,Andes Mutual (S. America),Operational,Cyber Breach,Closed,2012-01-28,,63479.3,25695.92,0.4048,,1.0,Oceania
CLM-407282,2012-01-17,Nordics,Life,8111.41,13806.86,0.5875,Orient Shield Insurance (Asia),Credit,Collision,Closed,2012-04-09,,13806.86,8111.41,0.5875,,1.0,Europe
CLM-405349,2012-01-19,Africa,Energy,37756.86,76991.24,0.4904,AgriProtect,Cyber,Fire,Closed,2012-03-24,,76991.24,37756.86,0.4904,,1.0,Africa
CLM-410618,2012-01-19,Kenya,Motor,4892.61,7926.06,0.6173,Orient Shield Insurance (Asia),Political,Theft,Closed,2012-03-27,,7926.06,4892.61,0.6173,,1.0,Africa
CLM-408799,2012-01-20,Middle East & Africa,Cyber,8270.6,11427.31,0.7238,Atlas Underwriters (Europe),Nat Cat,Hail,Open,,,11427.31,8270.6,0.7238,,1.0,Asia
CLM-400189,2012-01-21,North America,Life,3242.23,3504.87,0.9251,Meridian Insurance (N. America),Political,Marine Peril,Closed,2012-04-05,,3504.87,3242.23,0.9251,,1.0,North America
CLM-412867,2012-01-21,Middle East & Africa,Life,80698.13,229491.04,0.3516,Metro Insurers,Political,Collision,Closed,2012-03-13,,229491.04,80698.13,0.3516,,1.0,Asia
CLM-409937,2012-01-21,Kenya,Credit & Surety,10638.13,11396.83,0.9334,Horizon Underwriters,Credit,Flood,Reopened,2012-08-17,,11396.83,10638.13,0.9334,,1.0,Africa
CLM-407710,2012-01-21,Europe,Credit & Surety,5353.43,7701.28,0.6951,Horizon Underwriters,Cyber,Cyber Breach,Closed,2012-07-21,,7701.28,5353.43,0.6951,,1.0,Europe
CLM-401674,2012-01-21,Australia & Pacific,Cyber,18057.99,51435.44,0.3511,Atlas Underwriters (Europe),Operational,Collision,Open,,,51435.44,18057.99,0.3511,,1.0,Oceania
CLM-402112,2012-01-24,Nordics,Life,4639.31,7724.06,0.6006,Andes Mutual (S. America),Political,Hail,Closed,2012-02-29,,7724.06,4639.31,0.6006,,1.0,Europe
CLM-410756,2012-01-24,North America,Property,10031.89,12147.66,0.8258,Meridian Insurance (N. America),Cyber,Theft,Reopened,2012-03-25,,12147.66,10031.89,0.8258,,1.0,North America
CLM-409379,2012-01-25,Europe,Aviation,20380.95,36882.61,0.5526,Baobab Insurance,Cyber,Marine Peril,Under Review,,,36882.61,20380.95,0.5526,,1.0,Europe
CLM-408646,2012-01-25,Caribbean,Property,64562.8,158091.55,0.4084,Metro Insurers,Political,Liability Claim,Reopened,2012-01-28,,158091.55,64562.8,0.4084,,1.0,North America
CLM-405541,2012-01-25,Australia & Pacific,Health,6328.94,16065.16,0.394,Zenith Cover,Cyber,Marine Peril,Under Review,,,16065.16,6328.94,0.394,,1.0,Oceania
CLM-412919,2012-01-26,Kenya,Life,18671.49,38941.37,0.4795,Horizon Underwriters,Cyber,Cyber Breach,Closed,2012-02-26,,38941.37,18671.49,0.4795,,1.0,Africa
CLM-401706,2012-01-26,Middle East & Africa,Cyber,31110.51,81280.93,0.3828,Atlas Underwriters (Europe),Cyber,Fire,Closed,2012-02-24,,81280.93,31110.51,0.3828,,1.0,Asia
CLM-407555,2012-01-27,Caribbean,Engineering,60110.93,96721.52,0.6215,Coastal Mutual,Operational,Theft,Closed,2012-03-28,,96721.52,60110.93,0.6215,,1.0,North America
CLM-400373,2012-01-27,Kenya,Marine,52018.63,69584.34,0.7476,Horizon Underwriters,Credit,Flood,Closed,2013-03-26,,69584.34,52018.63,0.7476,,1.0,Africa
CLM-412618,2012-01-27,Europe,Property,21638.51,31768.14,0.6811,Acentria Group,Operational,Cyber Breach,Open,,,31768.14,21638.51,0.6811,,1.0,Europe
CLM-407251,2012-01-27,Africa,Credit & Surety,23295.27,29271.7,0.7958,Orient Shield Insurance (Asia),Political,Windstorm,Closed,2013-01-23,,29271.7,23295.27,0.7958,,1.0,Africa
CLM-405509,2012-01-27,Kenya,Agriculture,7340.33,15399.11,0.4767,Zenith Cover,Operational,Earthquake,Closed,2012-04-07,,15399.11,7340.33,0.4767,,1.0,Africa
CLM-400582,2012-01-28,Caribbean,Marine,12137.12,27644.2,0.439,Nile Star Assurance (Africa),Market,Hail,Closed,2012-06-30,,27644.2,12137.12,0.439,,1.0,North America
CLM-403962,2012-01-29,Australia & Pacific,Engineering,32263.94,42645.22,0.7566,Zenith Cover,Weather,Fire,Closed,2012-02-10,,42645.22,32263.94,0.7566,,1.0,Oceania
CLM-412666,2012-01-30,Kenya,Marine,15656.46,24351.13,0.6429,Orient Shield Insurance (Asia),Nat Cat,Collision,Closed,2012-07-16,,24351.13,15656.46,0.6429,,1.0,Africa
CLM-410831,2012-01-30,Australia & Pacific,Health,4443.86,9801.86,0.4534,Horizon Underwriters,Weather,Hail,Reopened,2012-02-21,,9801.86,4443.86,0.4534,,1.0,Oceania
CLM-411127,2012-01-31,North America,Property,10646.63,12202.06,0.8725,Meridian Insurance (N. America),Credit,Marine Peril,Reopened,2012-02-15,,12202.06,10646.63,0.8725,,1.0,North America
CLM-402642,2012-02-01,Africa,Health,56760.91,96536.66,0.588,Coastal Mutual,Nat Cat,Machinery Breakdown,Closed,2012-03-17,,96536.66,56760.91,0.588,,1.0,Africa
CLM-412090,2012-02-02,Middle East & Africa,Liability,47136.66,76152.39,0.619,Coastal Mutual,Weather,Flood,Reopened,2013-03-20,,76152.39,47136.66,0.619,,1.0,Asia
CLM-401605,2012-02-02,Caribbean,Energy,14983.1,19659.72,0.7621,Meridian Insurance (N. America),Market,Windstorm,Closed,2012-05-22,,19659.72,14983.1,0.7621,,1.0,North America
CLM-401348,2012-02-02,Middle East & Africa,Property,34585.58,38935.73,0.8883,Zenith Cover,Credit,Cyber Breach,Closed,2012-03-15,,38935.73,34585.58,0.8883,,1.0,Asia
CLM-405218,2012-02-04,Nordics,Liability,115167.21,289108.85,0.3984,Nile Star Assurance (Africa),Weather,Theft,Closed,2012-11-06,,289108.85,115167.21,0.3984,,1.0,Europe
CLM-404373,2012-02-04,Middle East & Africa,Motor,36424.39,71036.66,0.5128,Coastal Mutual,Operational,Theft,Closed,2012-04-12,,71036.66,36424.39,0.5128,,1.0,Asia
CLM-401733,2012-02-05,Latin America,Property,40712.65,114009.89,0.3571,Orient Shield Insurance (Asia),Credit,Collision,Closed,2012-02-21,,114009.89,40712.65,0.3571,,1.0,South America
CLM-402205,2012-02-05,Middle East & Africa,Marine,11844.4,16077.6,0.7367,Metro Insurers,Nat Cat,Liability Claim,Closed,2012-09-02,,16077.6,11844.4,0.7367,,1.0,Asia
CLM-400771,2012-02-06,Latin America,Energy,17534.87,31402.0,0.5584,Andes Mutual (S. America),Political,Hail,Closed,2012-05-10,,31402.0,17534.87,0.5584,,1.0,South America
CLM-406488,2012-02-06,Australia & Pacific,Property,53450.1,61868.32,0.8639,Baobab Insurance,Political,Drought,Closed,2012-06-07,,61868.32,53450.1,0.8639,,1.0,Oceania
CLM-409954,2012-02-06,Australia & Pacific,Engineering,45640.0,70006.11,0.6519,Orient Shield Insurance (Asia),Market,Marine Peril,Closed,2012-03-21,,70006.11,45640.0,0.6519,,1.0,Oceania
CLM-409144,2012-02-06,Europe,Credit & Surety,10852.18,24614.87,0.4409,Orient Shield Insurance (Asia),Credit,Fire,Under Review,,,24614.87,10852.18,0.4409,,1.0,Europe
CLM-400701,2012-02-07,Australia & Pacific,Aviation,14594.38,34011.38,0.4291,Pacifica Cover (Oceania),Market,Flood,Closed,2012-05-11,,34011.38,14594.38,0.4291,,1.0,Oceania
CLM-408831,2012-02-08,Latin America,Liability,6364.65,8313.18,0.7656,Atlas Underwriters (Europe),Operational,Theft,Closed,2012-08-19,,8313.18,6364.65,0.7656,,1.0,South America
