policy_id,period,region,sub_region,country,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,ceded_premium,commission,retention,treaty_type,currency,underwriter,claim_status,cause_of_loss,settlement_date,reserve,broker,gwp_usd,nep_usd,claims_paid_usd,continent
AFR-POL-2021-004578-FEE3,2021-10-27,Africa,Southern Africa,South Africa,Workers Compensation,480120.21,323056.92,0.0,,,"Berry, Lewis and Reid (South Africa)",Low,7653888.81,0.062729,116038.92,15442.11,399678.35,Surplus,USD,Robert Clark,,,,0.0,African Risk Capacity,480120.21,323056.92,0.0,Africa
AFR-POL-2018-004579-3C1F,2018-08-31,Africa,Southern Africa,South Africa,Engineering,225366.54,138615.92,0.0,,,Regional Group of South Africa,Medium,31061597.44,0.007255,73988.79,7540.91,353383.06,Excess of Loss,USD,Paula Scott,,,,0.0,Local Broker Network,225366.54,138615.92,0.0,Africa
AFR-POL-2009-004580-4E71,2009-06-16,Africa,West Africa,Ghana,Credit,35584.27,8437.91,0.0,,,"Williams, Ward and Dominguez (Ghana)",Emerging,316647.09,0.112378,21123.73,5926.11,1136189.08,Surplus,USD,Stephanie Lee DDS,,,,0.0,Willis Towers Watson,35584.27,8437.91,0.0,Africa
AFR-POL-2014-004581-8C15,2014-08-15,Africa,West Africa,Mali,Health,46144.16,21788.92,0.0,,,Guardian Mutual  Mali,Emerging,568577.63,0.081157,17692.89,2196.63,2322.39,Stop Loss,XOF,Shawn Brown,,,,0.0,Old Mutual Intermediaries,46144.16,21788.92,0.0,Africa
AFR-POL-2010-004582-18D4,2010-12-09,Africa,Southern Africa,South Africa,Directors & Officers,116685.87,60642.82,0.0,,,Barber-Sanders (South Africa),Catastrophic,1022370.08,0.114133,46876.76,7427.49,5931.01,Stop Loss,USD,Melinda Little,,,,0.0,African Risk Capacity,116685.87,60642.82,0.0,Africa
AFR-POL-2014-004583-FBE6,2014-11-10,Africa,Southern Africa,South Africa,Motor,50758.19,18566.18,0.0,,,Guardian Insurance of South Africa,Medium,1275279.51,0.039802,21558.25,2795.78,600881.36,Stop Loss,ZAR,Charles Tyler,,,,0.0,Regional Partners,50758.19,18566.18,0.0,Africa
AFR-POL-2017-004584-1B42,2017-01-16,Africa,Southern Africa,Mauritius,Agriculture,329341.59,74615.08,189291.0,2.5369,2.7849,Guardian Group of Mauritius,Medium,6537239.42,0.050379,194060.75,58113.0,2163131.61,Excess of Loss,USD,Stefanie Tucker,Denied,Medical Expense,,0.0,Willis Towers Watson,329341.59,74615.08,189291.0,Africa
AFR-POL-2023-004585-F843,2023-01-12,Africa,North Africa,Morocco,Casualty,16361.24,9353.51,9278.68,0.992,1.3211,Sahara Group  Morocco,Catastrophic,222710.08,0.073464,5845.15,1630.27,1138.29,Surplus,EUR,Charles Tyler,Closed,Earthquake,2025-03-26,0.0,Marsh,16361.24,9353.51,9278.68,Africa
AFR-POL-2005-004586-7A1B,2005-05-23,Africa,North Africa,Algeria,Marine,52913.28,17335.3,5399.95,0.3115,0.653,Edwards-Fuentes (Algeria),High,8515423.79,0.006214,33947.9,9484.0,87641.14,Stop Loss,USD,Tanya Lamb,Settled,Accident,2005-08-18,0.0,Old Mutual Intermediaries,52913.28,17335.3,5399.95,Africa
AFR-POL-2010-004587-C553,2010-03-07,Africa,West Africa,Nigeria,Terrorism,26053.18,7519.59,0.0,,,Munoz Ltd (Nigeria),Specialty,489995.79,0.05317,16935.96,2013.85,5705.73,Surplus,NGN,Melinda Little,,,,0.0,Old Mutual Intermediaries,26053.18,7519.59,0.0,Africa
AFR-POL-2023-004588-1DF7,2023-02-20,Africa,West Africa,Niger,Energy,123035.5,60887.7,0.0,,,Nile Re  Niger,Low,2538271.79,0.048472,25761.84,6888.2,15967.53,Aggregate XL,USD,Jerome Whitehead,,,,0.0,Howden,123035.5,60887.7,0.0,Africa
AFR-POL-2013-004589-0511,2013-07-31,Africa,West Africa,Nigeria,Surety,217166.55,128074.83,0.0,,,Regional Insurance of Nigeria,Medium,6417453.78,0.03384,31923.44,5492.01,883997.11,Excess of Loss,NGN,Rachel Webb,,,,0.0,Gallagher,217166.55,128074.83,0.0,Africa
AFR-POL-2017-004590-FC51,2017-02-21,Africa,East Africa,Uganda,Energy,136773.34,42941.32,45204.33,1.0527,1.4185,Pan-African Insurance  Uganda,Catastrophic,2920859.06,0.046826,89958.54,7645.98,14770.13,Facultative,ZAR,Paula Scott,Pending,Business Interruption,,49549.13,Gallagher,136773.34,42941.32,45204.33,Africa
AFR-POL-2011-004591-D333,2011-10-17,Africa,North Africa,Egypt,Travel,48432.15,9103.29,4769.21,0.5239,0.8211,Russo Ltd (Egypt),Emerging,562189.74,0.086149,32127.56,3860.69,4116.1,Aggregate XL,EGP,Kyle Jones,Pending,Liability Claim,,3734.92,Gallagher,48432.15,9103.29,4769.21,Africa
AFR-POL-2018-004592-1B6F,2018-01-21,Africa,East Africa,Kenya,Surety,1416829.41,770309.97,0.0,,,Stevens-Yang (Kenya),Specialty,117366056.6,0.012072,437921.11,118754.61,1488815.62,Surplus,USD,Cynthia Webb,,,,0.0,Jubilee Brokers,1416829.41,770309.97,0.0,Africa
AFR-POL-2021-004593-9B83,2021-07-26,Africa,Central Africa,Angola,Catastrophe,178085.7,84530.18,162314.85,1.9202,2.2734,Kelly-Rose (Angola),Emerging,2741154.98,0.064967,42588.46,8346.85,583130.5,Facultative,EUR,Ryan Mack,Denied,Mortality,,0.0,African Risk Capacity,178085.7,84530.18,162314.85,Africa
AFR-POL-2018-004594-2357,2018-07-01,Africa,Southern Africa,Malawi,Surety,27747.54,11893.94,16318.49,1.372,1.6539,Wiley Group (Malawi),Catastrophic,2560447.17,0.010837,7549.54,753.43,7807.29,Surplus,EUR,Tanya Lamb,Closed,Political Violence,2020-02-22,0.0,Sanlam Brokers,27747.54,11893.94,16318.49,Africa
AFR-POL-2022-004595-D2CE,2022-08-26,Africa,Southern Africa,South Africa,Cyber,331510.72,58553.34,22958.76,0.3921,0.7888,Lloyd-Guzman (South Africa),Specialty,7706640.38,0.043016,239071.39,21248.39,48025.09,Aggregate XL,USD,Angel Benson,Denied,Civil Unrest,,0.0,Local Broker Network,331510.72,58553.34,22958.76,Africa
AFR-POL-2020-004596-468C,2020-05-04,Africa,West Africa,Benin,Directors & Officers,75012.69,25335.9,10423.19,0.4114,0.6684,Savanna Insurance of Benin,High,808632.44,0.092765,48203.5,6519.39,2380.42,Aggregate XL,EUR,Paula Scott,Closed,Machinery Breakdown,2022-12-30,0.0,Independent African Agents,75012.69,25335.9,10423.19,Africa
AFR-POL-2018-004597-D790,2018-02-20,Africa,West Africa,Gambia,Casualty,18553.69,8128.58,6036.28,0.7426,1.0241,Continental Re of Gambia,Catastrophic,317794.02,0.058383,6570.67,613.28,2028.07,Quota Share,ZAR,David Bell,Settled,Natural Catastrophe,2019-07-27,0.0,Willis Towers Watson,18553.69,8128.58,6036.28,Africa
AFR-POL-2024-004598-F66D,2024-11-22,Africa,Southern Africa,South Africa,Professional Indemnity,149430.21,59289.07,43992.49,0.742,1.0033,Continental Assurance of South Africa,Medium,2363918.41,0.063213,80527.44,18142.45,1091343.78,Surplus,USD,Mary Jackson,Settled,Fire,2026-09-04,0.0,Gallagher,149430.21,59289.07,43992.49,Africa
AFR-POL-2025-004599-6C5D,2025-09-08,Africa,North Africa,Sudan,Aviation,74708.66,37065.4,26094.04,0.704,0.9276,Continental Company  Sudan,Emerging,1350613.55,0.055315,33010.47,6757.45,2278240.1,Stop Loss,EUR,Stefanie Tucker,Pending,Machinery Breakdown,,36217.56,Marsh,74708.66,37065.4,26094.04,Africa
AFR-POL-2022-004600-0D59,2022-07-12,Africa,East Africa,Uganda,Health,11910.02,6075.71,5448.09,0.8967,1.2804,Continental Group of Uganda,Catastrophic,118253.07,0.100716,4307.56,1143.42,576.57,Facultative,ZAR,Shawn Brown,Settled,Natural Catastrophe,2022-09-22,0.0,Local Broker Network,11910.02,6075.71,5448.09,Africa
AFR-POL-2013-004601-E43F,2013-03-14,Africa,North Africa,Tunisia,Travel,34122.45,10702.38,8674.28,0.8105,1.043,Horizon Company  Tunisia,Low,319851.62,0.106682,17060.96,4693.24,2772.51,Excess of Loss,MAD,Jonathan Harris,Closed,Fire,2015-06-14,0.0,Local Broker Network,34122.45,10702.38,8674.28,Africa
AFR-POL-2012-004602-2256,2012-09-28,Africa,West Africa,Ivory Coast,Marine,2722.48,567.52,451.18,0.795,1.0531,Sahara Ltd of Ivory Coast,Emerging,51896.58,0.05246,2038.93,177.08,373.65,Aggregate XL,EUR,Cameron Proctor,In Litigation,Theft,,131.95,Willis Towers Watson,2722.48,567.52,451.18,Africa
AFR-POL-2023-004603-7940,2023-06-29,Africa,Southern Africa,Mauritius,Credit,32943.13,11074.71,0.0,,,National Mutual of Mauritius,Specialty,314413.97,0.104776,18385.65,2088.62,926.84,Stop Loss,EUR,Wendy Maynard,,,,0.0,Independent African Agents,32943.13,11074.71,0.0,Africa
AFR-POL-2021-004604-6CC4,2021-11-08,Africa,North Africa,Algeria,Professional Indemnity,10851.06,2822.73,1596.25,0.5655,0.9466,Sahara Underwriters  Algeria,Low,178333.58,0.060847,6404.23,1659.68,1694.09,Stop Loss,USD,Ryan Mack,Settled,Machinery Breakdown,2024-04-29,0.0,Willis Towers Watson,10851.06,2822.73,1596.25,Africa
AFR-POL-2008-004605-C0BF,2008-05-23,Africa,East Africa,Kenya,Property,63367.23,18402.83,0.0,,,Huff LLC (Kenya),Catastrophic,3917073.63,0.016177,33128.46,7112.74,1364100.12,Aggregate XL,USD,Mark Booker,,,,0.0,Regional Partners,63367.23,18402.83,0.0,Africa
AFR-POL-2012-004606-2536,2012-04-18,Africa,East Africa,Tanzania,Life,411.15,335.39,150.05,0.4474,0.746,Nile Ltd  Tanzania,Specialty,7339.22,0.056021,22.32,4.95,913666.5,Facultative,ZAR,Arthur Kelly,Open,Flood,,120.17,Gallagher,411.15,335.39,150.05,Africa
AFR-POL-2006-004607-6BAF,2006-02-04,Africa,Southern Africa,South Africa,Marine,399621.7,158275.99,136307.28,0.8612,1.09,Horizon PLC  South Africa,Low,3986169.28,0.100252,137224.12,14469.31,19120.5,Surplus,USD,Melinda Little,Denied,Business Interruption,,0.0,Regional Partners,399621.7,158275.99,136307.28,Africa
AFR-POL-2021-004608-A6EC,2021-01-30,Africa,Central Africa,Angola,Engineering,46875.04,27234.82,0.0,,,Continental Insurers of Angola,Emerging,517021.78,0.090664,15466.17,1865.03,1886605.81,Facultative,ZAR,Jade Johnson,,,,0.0,Regional Partners,46875.04,27234.82,0.0,Africa
AFR-POL-2024-004609-D34D,2024-11-25,Africa,West Africa,Nigeria,Microinsurance,20675.43,6790.54,4983.58,0.7339,1.0496,Evans Ltd (Nigeria),Specialty,489696.84,0.042221,12229.04,3282.61,5284.07,Surplus,USD,James Mays,Closed,Business Interruption,2025-12-28,0.0,Willis Towers Watson,20675.43,6790.54,4983.58,Africa
AFR-POL-2011-004610-3E02,2011-09-01,Africa,East Africa,Kenya,Energy,121670.23,78727.45,56337.36,0.7156,1.0091,Montgomery-Lopez (Kenya),High,1035906.0,0.117453,19180.66,1840.8,287218.27,Proportional,KES,Kimberly Thomas,Closed,Natural Catastrophe,2012-08-26,0.0,Old Mutual Intermediaries,121670.23,78727.45,56337.36,Africa
AFR-POL-2005-004611-9B90,2005-11-13,Africa,East Africa,Tanzania,Surety,399412.92,126522.05,0.0,,,Pan-African PLC of Tanzania,Low,12675508.5,0.031511,189395.6,52622.37,97544.38,Aggregate XL,EUR,Antonio Taylor,,,,0.0,Regional Partners,399412.92,126522.05,0.0,Africa
AFR-POL-2006-004612-5631,2006-07-30,Africa,West Africa,Senegal,Engineering,26795.84,8618.87,14159.08,1.6428,1.9316,Nile Insurance  Senegal,Specialty,1585976.34,0.016895,15896.84,2672.81,1836717.33,Facultative,EUR,Veronica Barnett,In Litigation,Theft,,15247.26,Marsh,26795.84,8618.87,14159.08,Africa
AFR-POL-2017-004613-BFC3,2017-05-21,Africa,Central Africa,Democratic Republic of the Congo,Credit,422485.05,260230.01,0.0,,,"Doyle, Duncan and Miller (Democratic Republic of the Congo)",Medium,7614442.17,0.055485,114144.37,13110.15,296982.07,Facultative,EUR,Cameron Proctor,,,,0.0,Willis Towers Watson,422485.05,260230.01,0.0,Africa
AFR-POL-2022-004614-FD88,2022-05-15,Africa,Southern Africa,Madagascar,Agriculture,89022.68,13775.88,0.0,,,National Re  Madagascar,High,6097164.84,0.014601,65956.33,7122.26,76760.85,Facultative,ZAR,Kenneth Rogers,,,,0.0,Local Broker Network,89022.68,13775.88,0.0,Africa
AFR-POL-2017-004615-1A6A,2017-02-27,Africa,Southern Africa,South Africa,Agriculture,913604.4,510028.46,533030.74,1.0451,1.3736,Continental Underwriters of South Africa,Specialty,23672159.56,0.038594,171170.78,15147.3,104191.07,Aggregate XL,USD,Charles Tyler,Denied,Accident,,0.0,Willis Towers Watson,913604.4,510028.46,533030.74,Africa
AFR-POL-2011-004616-7BE9,2011-10-24,Africa,East Africa,Ethiopia,Professional Indemnity,54157.39,25881.04,20541.78,0.7937,1.0607,Ubuntu Mutual  Ethiopia,Emerging,2851464.54,0.018993,14958.16,1390.72,14913.17,Aggregate XL,EUR,Jonathan Harris,Denied,Mortality,,0.0,Aon,54157.39,25881.04,20541.78,Africa
AFR-POL-2009-004617-A02E,2009-03-14,Africa,Southern Africa,South Africa,Motor,27494.97,15659.54,0.0,,,Continental Re  South Africa,High,415669.86,0.066146,7887.63,2321.48,129940.19,Excess of Loss,USD,Harold Perez,,,,0.0,Regional Partners,27494.97,15659.54,0.0,Africa
AFR-POL-2022-004618-EEC0,2022-05-13,Africa,East Africa,Ethiopia,Life,100884.61,42684.23,0.0,,,Harrison LLC (Ethiopia),Emerging,1759860.01,0.057325,48489.17,6842.36,22047.48,Facultative,ZAR,Shawn Brown,,,,0.0,Old Mutual Intermediaries,100884.61,42684.23,0.0,Africa
AFR-POL-2013-004619-04EE,2013-10-12,Africa,North Africa,Egypt,Aviation,345970.61,86998.47,0.0,,,Campbell LLC (Egypt),High,6217571.1,0.055644,252181.93,68414.13,395440.0,Surplus,USD,Arthur Kelly,,,,0.0,Willis Towers Watson,345970.61,86998.47,0.0,Africa
AFR-POL-2012-004620-12FE,2012-07-04,Africa,East Africa,Kenya,Agriculture,69425.8,29790.65,61985.41,2.0807,2.3823,National Underwriters of Kenya,Emerging,894623.86,0.077603,27766.14,6991.59,3782.49,Facultative,USD,Hannah Pitts,Settled,Mortality,2014-01-26,0.0,Aon,69425.8,29790.65,61985.41,Africa
AFR-POL-2007-004621-B4F1,2007-10-10,Africa,Southern Africa,Zimbabwe,Professional Indemnity,11384.54,5592.27,0.0,,,Sahara Company of Zimbabwe,High,408385.26,0.027877,1888.43,534.12,3446.96,Aggregate XL,ZAR,Shelby Robertson,,,,0.0,Lockton,11384.54,5592.27,0.0,Africa
AFR-POL-2018-004622-0201,2018-01-30,Africa,Southern Africa,Zimbabwe,Agriculture,18641.39,4672.13,0.0,,,Savanna Insurers of Zimbabwe,Emerging,161874.42,0.11516,11594.15,1980.84,1685767.46,Aggregate XL,EUR,Ryan Mack,,,,0.0,Jubilee Brokers,18641.39,4672.13,0.0,Africa
AFR-POL-2010-004623-3A55,2010-03-23,Africa,West Africa,Nigeria,Terrorism,219733.71,69550.83,26095.47,0.3752,0.7131,Sahara Assurance of Nigeria,Low,2310249.74,0.095113,123036.8,25851.23,1283832.07,Quota Share,USD,Paula Scott,Denied,Pandemic Related,,0.0,Old Mutual Intermediaries,219733.71,69550.83,26095.47,Africa
AFR-POL-2005-004624-5C7F,2005-03-19,Africa,North Africa,Morocco,Credit,36141.97,21128.32,7287.16,0.3449,0.6882,Guardian Group  Morocco,Catastrophic,545291.84,0.06628,8031.8,2111.13,5889.46,Aggregate XL,EUR,Kyle Jones,Denied,Earthquake,,0.0,Jubilee Brokers,36141.97,21128.32,7287.16,Africa
AFR-POL-2021-004625-A02D,2021-03-26,Africa,Southern Africa,Namibia,Directors & Officers,66269.21,24810.9,8572.17,0.3455,0.73,Guardian Company  Namibia,High,937917.42,0.070656,24729.24,3287.15,6130.34,Aggregate XL,USD,Mark Booker,Denied,Medical Expense,,0.0,Gallagher,66269.21,24810.9,8572.17,Africa
AFR-POL-2009-004626-4D4A,2009-09-08,Africa,North Africa,Algeria,Political Risk,43661.68,20061.8,0.0,,,Gaines-Romero (Algeria),Low,1129853.27,0.038644,21903.98,5899.93,13634.69,Excess of Loss,EUR,Stephanie Lee DDS,,,,0.0,Local Broker Network,43661.68,20061.8,0.0,Africa
AFR-POL-2025-004627-0004,2025-12-07,Africa,Central Africa,Angola,Surety,113209.81,33266.1,14703.62,0.442,0.7316,Henry PLC (Angola),Medium,1209803.82,0.093577,67768.68,10122.57,8289.37,Surplus,EUR,Evelyn Christian,In Litigation,Pandemic Related,,9674.88,Marsh,113209.81,33266.1,14703.62,Africa
AFR-POL-2025-004628-AE07,2025-10-30,Africa,West Africa,Ghana,Catastrophe,878136.79,575036.56,1298202.54,2.2576,2.4808,Burke LLC (Ghana),Emerging,88251049.44,0.00995,236650.06,26413.76,269087.61,Proportional,EUR,Shawn Brown,Pending,Fire,,754218.4,Local Broker Network,878136.79,575036.56,1298202.54,Africa
AFR-POL-2014-004629-161A,2014-12-19,Africa,West Africa,Nigeria,Directors & Officers,648010.11,262173.42,270589.19,1.0321,1.4048,National Insurance of Nigeria,Specialty,21482626.6,0.030164,290989.89,59420.8,133275.84,Quota Share,USD,Craig Gonzalez,Pending,Theft,,108546.92,Old Mutual Intermediaries,648010.11,262173.42,270589.19,Africa
AFR-POL-2021-004630-2C26,2021-08-10,Africa,West Africa,Senegal,Casualty,9575.71,6585.1,0.0,,,Pan-African Holdings of Senegal,High,271605.82,0.035256,959.27,268.87,1154158.83,Proportional,XOF,Antonio Taylor,,,,0.0,Old Mutual Intermediaries,9575.71,6585.1,0.0,Africa
AFR-POL-2015-004631-BA61,2015-11-19,Africa,East Africa,Uganda,Microinsurance,6298.77,1348.31,0.0,,,"Wilkerson, Armstrong and Riley (Uganda)",High,56070.78,0.112336,4104.79,821.49,257.68,Aggregate XL,USD,David Bell,,,,0.0,Willis Towers Watson,6298.77,1348.31,0.0,Africa
AFR-POL-2013-004632-9C0E,2013-11-11,Africa,East Africa,Kenya,Cyber,17971.38,5466.03,3264.86,0.5973,0.9905,Guardian Insurers of Kenya,High,188848.94,0.095163,9822.97,805.09,1245012.42,Excess of Loss,USD,Jonathan Harris,Settled,Drought,2016-10-09,0.0,Aon,17971.38,5466.03,3264.86,Africa
AFR-POL-2014-004633-8308,2014-01-28,Africa,West Africa,Ghana,Terrorism,37368.85,22779.32,17325.95,0.7606,1.1486,Holder Ltd (Ghana),Specialty,364669.17,0.102473,8330.13,2020.63,1644.92,Facultative,ZAR,Kenneth Rogers,In Litigation,Medical Expense,,13726.08,Jubilee Brokers,37368.85,22779.32,17325.95,Africa
AFR-POL-2005-004634-90B8,2005-06-12,Africa,West Africa,Ghana,Terrorism,11797.98,8616.47,0.0,,,Continental Re of Ghana,Catastrophic,268419.5,0.043954,2220.82,241.8,666.94,Excess of Loss,ZAR,Harold Perez,,,,0.0,Regional Partners,11797.98,8616.47,0.0,Africa
AFR-POL-2012-004635-BAB7,2012-10-10,Africa,West Africa,Nigeria,Energy,89298.57,67502.68,55210.44,0.8179,1.1071,Sahara Group  Nigeria,Low,2383943.17,0.037458,6636.54,1675.43,30288.29,Surplus,NGN,Steven Johnson,In Litigation,Flood,,17848.39,Local Broker Network,89298.57,67502.68,55210.44,Africa
AFR-POL-2023-004636-F09A,2023-10-09,Africa,West Africa,Ghana,Engineering,255226.04,126524.59,128903.25,1.0188,1.3804,Swanson-Perry (Ghana),Catastrophic,7573087.68,0.033702,44791.03,12808.95,121853.14,Quota Share,ZAR,Brandon Fuller,Closed,Civil Unrest,2024-07-09,0.0,Sanlam Brokers,255226.04,126524.59,128903.25,Africa
AFR-POL-2012-004637-2B6B,2012-05-15,Africa,Southern Africa,South Africa,Marine,19440.47,8035.77,0.0,,,Sahara Insurers of South Africa,Specialty,523204.32,0.037157,11037.74,1639.63,2769.05,Excess of Loss,ZAR,Brandon Fuller,,,,0.0,Marsh,19440.47,8035.77,0.0,Africa
AFR-POL-2025-004638-D96D,2025-04-19,Africa,Southern Africa,South Africa,Workers Compensation,4359.13,1798.16,1647.47,0.9162,1.144,"Sanchez, Miller and Haas (South Africa)",Emerging,185016.78,0.023561,2098.9,269.71,719.4,Facultative,USD,Shawn Brown,Settled,Mortality,2025-12-28,0.0,Gallagher,4359.13,1798.16,1647.47,Africa
AFR-POL-2016-004639-547C,2016-01-01,Africa,East Africa,Kenya,Professional Indemnity,1134215.36,635109.26,362774.41,0.5712,0.7817,African Underwriters of Kenya,High,32172110.69,0.035255,203803.0,24335.95,274963.51,Proportional,USD,Stefanie Tucker,In Litigation,Fire,,174749.17,Gallagher,1134215.36,635109.26,362774.41,Africa
AFR-POL-2019-004640-E64C,2019-06-29,Africa,North Africa,Egypt,Surety,10042.84,4121.85,4912.01,1.1917,1.5872,Savanna Insurers  Egypt,Specialty,116363.63,0.086306,4737.74,1365.94,917.11,Aggregate XL,USD,Evan Peterson,Open,Pandemic Related,,5065.15,Lockton,10042.84,4121.85,4912.01,Africa
AFR-POL-2014-004641-AC14,2014-07-07,Africa,West Africa,Ghana,Travel,239267.52,78337.17,63233.76,0.8072,1.1935,Continental Ltd  Ghana,Catastrophic,2648390.91,0.090344,146029.27,13135.0,32161.53,Excess of Loss,ZAR,Melinda Little,Denied,Theft,,0.0,Lockton,239267.52,78337.17,63233.76,Africa
AFR-POL-2025-004642-E790,2025-10-09,Africa,West Africa,Nigeria,Credit,76452.59,37323.93,17083.16,0.4577,0.7485,Ubuntu Re of Nigeria,Catastrophic,2097504.81,0.036449,38058.13,9400.69,13190.76,Proportional,NGN,Brandon Fuller,In Litigation,Medical Expense,,21107.16,Independent African Agents,76452.59,37323.93,17083.16,Africa
AFR-POL-2011-004643-C933,2011-11-23,Africa,West Africa,Ghana,Marine,185240.6,66439.15,107691.22,1.6209,1.9624,Ubuntu Insurers  Ghana,Emerging,34756582.48,0.00533,74251.07,19504.5,669430.97,Facultative,ZAR,Rachel Webb,Closed,Fire,2013-11-30,0.0,Gallagher,185240.6,66439.15,107691.22,Africa
AFR-POL-2024-004644-217B,2024-01-27,Africa,North Africa,Algeria,Life,15340.05,12852.25,4228.39,0.329,0.624,Clark-Vaughan (Algeria),Catastrophic,539921.01,0.028412,1737.32,261.25,4432.07,Facultative,MAD,George Cook,In Litigation,Crop Failure,,3809.06,Old Mutual Intermediaries,15340.05,12852.25,4228.39,Africa
AFR-POL-2020-004645-1A17,2020-02-14,Africa,North Africa,Algeria,Agriculture,498130.75,124459.01,197018.61,1.583,1.8727,"Drake, Townsend and Powell (Algeria)",Emerging,4836900.76,0.102986,343101.63,80773.88,2205152.17,Quota Share,MAD,Kyle Jones,In Litigation,Political Violence,,149759.15,Willis Towers Watson,498130.75,124459.01,197018.61,Africa
AFR-POL-2019-004646-15A6,2019-02-28,Africa,West Africa,Ghana,Aviation,40713.23,10754.78,0.0,,,Sahara Insurers of Ghana,Specialty,1655734.98,0.024589,23729.43,3676.65,9439.01,Excess of Loss,EUR,Kimberly Thomas,,,,0.0,African Risk Capacity,40713.23,10754.78,0.0,Africa
AFR-POL-2009-004647-7C30,2009-07-25,Africa,Southern Africa,South Africa,Travel,244247.2,77202.76,0.0,,,Guardian Company of South Africa,Specialty,6843641.1,0.03569,144092.72,30902.78,73312.19,Aggregate XL,ZAR,Melinda Little,,,,0.0,Willis Towers Watson,244247.2,77202.76,0.0,Africa
AFR-POL-2024-004648-2AEC,2024-05-23,Africa,Southern Africa,South Africa,Credit,90510.13,60758.66,0.0,,,Pan-African Group  South Africa,Emerging,1307354.91,0.069231,11253.54,1981.54,1482512.91,Excess of Loss,USD,Aaron Graham,,,,0.0,Gallagher,90510.13,60758.66,0.0,Africa
AFR-POL-2013-004649-D577,2013-08-30,Africa,West Africa,Nigeria,Casualty,16758.91,7706.97,2658.13,0.3449,0.5861,Regional Mutual of Nigeria,Emerging,192898.02,0.08688,6742.6,1485.33,2372258.52,Quota Share,NGN,Rick Johnson,Denied,Medical Expense,,0.0,Aon,16758.91,7706.97,2658.13,Africa
AFR-POL-2023-004650-A89F,2023-03-24,Africa,West Africa,Nigeria,Travel,288624.94,138617.2,151979.9,1.0964,1.4526,Sahara Underwriters of Nigeria,Medium,2761356.36,0.104523,139595.88,19883.15,29155.01,Excess of Loss,NGN,David Bell,In Litigation,Civil Unrest,,41959.54,Marsh,288624.94,138617.2,151979.9,Africa
AFR-POL-2017-004651-A52D,2017-01-24,Africa,Central Africa,Gabon,Professional Indemnity,18788.4,8206.05,3416.18,0.4163,0.8045,National Group of Gabon,Low,331564.79,0.056666,7497.17,1298.43,2174438.99,Aggregate XL,EUR,Antonio Taylor,In Litigation,Fire,,866.7,Sanlam Brokers,18788.4,8206.05,3416.18,Africa
AFR-POL-2010-004652-DEDC,2010-10-14,Africa,West Africa,Nigeria,Liability,161012.33,42517.57,0.0,,,Regional PLC  Nigeria,Emerging,1655348.08,0.097268,111990.9,14450.83,10391.48,Surplus,USD,Danny Mason,,,,0.0,Marsh,161012.33,42517.57,0.0,Africa
AFR-POL-2014-004653-8291,2014-06-30,Africa,West Africa,Nigeria,Catastrophe,355001.68,223184.14,0.0,,,Premier PLC  Nigeria,Low,9913242.16,0.035811,42719.53,7799.9,30169.14,Excess of Loss,USD,Paula Scott,,,,0.0,Aon,355001.68,223184.14,0.0,Africa
AFR-POL-2024-004654-CDB5,2024-09-17,Africa,North Africa,Morocco,Terrorism,408624.04,61477.39,22285.55,0.3625,0.6293,Ubuntu Ltd  Morocco,Specialty,3467321.86,0.11785,302360.44,26371.92,1721559.09,Facultative,USD,Jeffrey Fisher,In Litigation,Mortality,,12192.73,Marsh,408624.04,61477.39,22285.55,Africa
AFR-POL-2007-004655-6817,2007-09-29,Africa,Southern Africa,South Africa,Political Risk,224436.56,96372.14,183964.78,1.9089,2.1523,Guardian Assurance of South Africa,Medium,9466678.29,0.023708,119048.4,18619.43,63539.14,Excess of Loss,USD,Amanda Taylor,Pending,Mortality,,264273.43,Regional Partners,224436.56,96372.14,183964.78,Africa
AFR-POL-2007-004656-86C3,2007-10-08,Africa,Southern Africa,Lesotho,Directors & Officers,7473.27,6076.0,0.0,,,Horizon Company of Lesotho,Emerging,405252.54,0.018441,546.38,89.88,5158.98,Stop Loss,EUR,Misty Stout,,,,0.0,Sanlam Brokers,7473.27,6076.0,0.0,Africa
AFR-POL-2019-004657-1A3E,2019-01-17,Africa,East Africa,Kenya,Energy,602474.38,356320.15,0.0,,,National Underwriters  Kenya,Emerging,19467929.87,0.030947,134960.33,15521.82,174720.18,Proportional,KES,Arthur Kelly,,,,0.0,Aon,602474.38,356320.15,0.0,Africa
AFR-POL-2019-004658-51E4,2019-04-10,Africa,Central Africa,Equatorial Guinea,Cyber,116200.7,54819.09,56946.07,1.0388,1.3308,Premier Company of Equatorial Guinea,Low,1779897.95,0.065285,58130.26,9769.33,6365.27,Excess of Loss,XAF,Mark Villanueva,Denied,Drought,,0.0,Gallagher,116200.7,54819.09,56946.07,Africa
AFR-POL-2009-004659-5AA2,2009-12-03,Africa,East Africa,Tanzania,Aviation,2911752.48,1210656.76,1022157.5,0.8443,1.0856,Henderson LLC (Tanzania),Medium,26747573.82,0.10886,959295.54,155458.02,249142.51,Surplus,ZAR,Steven Peterson,In Litigation,Cyber Attack,,608774.57,Jubilee Brokers,2911752.48,1210656.76,1022157.5,Africa
